,comb_id,req1,req2,BinaryClass,MultiClass,PredictedLabel,Predict_Proba_Class_0,Predict_Proba_Class_1
13,15915.0,actual speed shall be indicated on the dmi,route unsuitability shall be indicated on the dmi,1.0,2.0,1,0.01,0.99
31,13720.0,the train shall as a minimum be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver,the release speed shall be indicated on the dmi,0.0,0.0,1,,
20,10001.0,this ceiling speed shall not be shown continually on the dmi but may be shown momentarily when selected by the driver,the target distance shall not be shown on the dmi unless selected by the driver,1.0,2.0,1,0.48,0.52
21,5458.0,the driver shall be able to select train data entry on the dmi,the emergency stop shall be indicated to the driver on the dmi,0.0,0.0,0,0.94,0.06
14,1990.0,the etcs trainborne equipment shall be capable of supervising the following operational states,the etcs trainborne equipment shall be capable of being isolated,0.0,0.0,0,0.0,1.0
5,15289.0,the release speed shall be indicated on the dmi,operation of the train trip shall be indicated on the dmi,1.0,2.0,1,0.13,0.87
33,15255.0,the release speed shall be indicated on the dmi,the roll away/reverse movement intervention shall be indicated on the dmi,1.0,2.0,1,,
2,18248.0,actual speed shall still be shown on the dmi,information shall be shown on the dmi,1.0,3.0,1,0.32,0.68
19,3621.0,the current operational status shall be indicated to the driver on the dmi,the supervised shunting speed shall be indicated to the driver on request,1.0,2.0,1,0.01,0.99
6,13996.0,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,0.0,0.0,0,0.06,0.94
7,18787.0,the driver shall be able to override the function when the train is stationary,the driver shall be able to use the reversing function without needing to re-confirm the train data,0.0,0.0,0,0.14,0.86
4,1509.0,the current application level shall be indicated on the dmi,the emergency stop shall be indicated to the driver on the dmi,1.0,2.0,1,0.53,0.47
17,5986.0,the driver shall be able to consult train data when the train is stationary or moving,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,1.0,1.0,0,0.1,0.9
12,9645.0,partial supervision shall be indicated on the dmi,route unsuitability shall be indicated on the dmi,1.0,2.0,1,0.7,0.3
0,9595.0,partial supervision shall be indicated on the dmi,the release speed shall be indicated on the dmi,1.0,2.0,1,0.07,0.93
16,10000.0,this ceiling speed shall not be shown continually on the dmi but may be shown momentarily when selected by the driver,the train shall as a minimum be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver,1.0,1.0,1,0.84,0.16
22,18638.0,the emergency stop shall be indicated to the driver on the dmi,when the plain text message appears on the dmi the driver shall be alerted,0.0,0.0,0,0.8,0.2
32,8728.0,the supervised shunting speed shall be indicated to the driver on request,the release speed shall be indicated on the dmi,1.0,2.0,1,,
30,18646.0,the emergency stop shall be indicated to the driver on the dmi,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0.0,0.0,0,,
1,15285.0,the release speed shall be indicated on the dmi,route unsuitability shall be indicated on the dmi,1.0,2.0,1,0.24,0.76
25,19171.0,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,the occurrence of a failure shall be displayed on the dmi,1.0,2.0,1,0.26,0.74
23,18760.0,the driver shall be able to override the function when the train is stationary,after the acknowledgement the driver shall be able to continue the movement,0.0,0.0,0,0.47,0.53
3,15749.0,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,the etcs trainborne equipment shall transmit its own train identification to the rbc,1.0,2.0,0,0.57,0.43
26,16542.0,if the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed; then the driver shall be able to release the brake,if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,1.0,2.0,1,0.64,0.36
15,10057.0,this ceiling speed shall not be shown continually on the dmi but may be shown momentarily when selected by the driver,the supervised speed shall not be shown on the dmi,1.0,1.0,1,0.26,0.74
29,18921.0,the emergency brake shall be applied until the traction unit is stationary,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,1.0,1.0,1,0.91,0.09
34,4887.0,the test shall require no action on the part of the driver,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,0.0,0.0,0,,
11,9602.0,partial supervision shall be indicated on the dmi,actual speed shall be indicated on the dmi,1.0,2.0,1,0.02,0.98
9,19530.0,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,the following train data shall be sent from the on board to the trackside,1.0,3.0,0,0.69,0.31
27,5485.0,the driver shall be able to select train data entry on the dmi,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0.0,0.0,0,0.03,0.97
