class,,req1,req1_id,req2,req2_id,similarity,cosine,CORLEY&MIHALCEA-NA-par,BinaryClass,Multiclass
33829,33829,"it shall be possible to send plain text messages from track to train.
",4.8.8.1,"it shall be possible to send fixed text messages from track to train
",4.8.9.1,0,0.876351105,0.75,1,4
19500,19500,"when changing to a lower speed level, the front end of the train shall respect the dynamic train speed profile.
",4.3.2.2a,"when changing to a higher speed level the rear end of the train shall respect the static train speed profile.
",4.3.2.2b,0,0.81438335,0.72727275,1,1
17767,17767,"the train shall, as a minimum, be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver.
",4.2.3.6b,"the supervised speed shall not be shown on the dmi.
",4.5.2.5b,0,0.787294272,0.75,1,3
20700,20700,"the release speed shall be indicated on the dmi.
",4.3.3.2c,"actual speed shall be indicated on the dmi
",4.3.51a,0,0.771651025,0.8,1,4
3913,3913,"the current operational status shall be indicated to the driver on the dmi
",3.9.1.6,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,0,0.765000346,0.61904764,1,4
11944,11944,"the train shall leave partial supervision when the trainborne equipment is not operative any longer, when shunting is selected or when full supervision is available.
",4.1.4.6,"the trainborne equipment shall remain in full supervision until the trainborne equipment is not active any longer, when shunting is selected or when partial supervision information is received.
",4.1.5.5,0,0.760907109,0.73333335,1,1
11373,11373,"in partial supervision the train shall be supervised according to train speed and distance data available.
",4.1.4.4a,"the train shall be supervised according to train speed data available.
",4.2.3.6a,0,0.753833371,0.8636364,1,4
21490,21490,"the etcs trainborne equipment shall be able to determine the location of the entire train.
",4.3.4.1,"on lines fitted with rbc, the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc.
",4.3.4.2,0,0.740678233,0.7777778,1,3
22119,22119,"actual speed shall be indicated on the dmi
",4.3.51a,"actual speed shall still be shown on the dmi.
",4.5.2.4,0,0.706077774,0.73333335,1,3
30864,30864,"the driver shall be able to override the function when the train is stationary.
",4.6.4.2,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,0,0.699202807,0.5050505,1,4
6490,6490,the driver shall be able to consult train data when the train is stationary or moving.,4.1.2.9,"the driver shall be able to override the function when the train is stationary.
",4.6.4.2,0,0.698530102,0.73888886,0,0
28882,28882,"a special indication shall be shown on the dmi.
",4.5.2.5a,"information shall be shown on the dmi
",4.8.10.2,0,0.673520505,0.675,1,4
31444,31444,"operation of the train trip shall be indicated on the dmi.
",4.6.12.2,"on demand, the position of the front end of the train at the time of the demand shall be indicated on the dmi. this shall be possible while the train is moving or stationary.
",4.7.3.2,0,0.673157451,0.4871795,1,1
1404,1404,"the current application level shall be indicated on the dmi.
",3.2.1.3d,"the current operational status shall be indicated to the driver on the dmi
",3.9.1.6,0,0.671356907,0.61904764,1,4
35625,35625,"the driver shall be able to confirm the train integrity to the rbc manually. the confirmation requires the train to be stationary.
",4.9.5.4,"the driver shall be able to use the reversing function without needing to re-confirm the train data.
",4.9.10.5,0,0.665458668,0.38181818,0,0
17711,17711,"the train shall, as a minimum, be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver.
",4.2.3.6b,"the target distance shall not be shown on the dmi unless selected by the driver.
",4.2.3.6c,0,0.659634789,0.625,1,4
26467,26467,"it shall be possible to use multiple traction units without isolating the etcs trainborne equipment on traction unit(s) with an in-operative cab.
",4.4.1.1,"it shall be possible to use tandem traction units without isolating the etcs trainborne equipment on the tandem traction unit.
",4.4.2.1,0,0.658480836,0.8116883,0,0
33032,33032,"the etcs on-board shall be capable of receiving information about pantograph and power supply from the trackside.
",4.8.1.1,"the etcs on-board shall be capable of receiving information regarding air tightness from the trackside.
",4.8.2.1,0,0.657433972,0.7,1,4
20741,20741,"the release speed shall be indicated on the dmi.
",4.3.3.2c,"the emergency stop shall be indicated to the driver on the dmi.
",4.6.4.8,0,0.653147742,0.55,1,4
2587,2587,"if, as a result of an automatic transition, except for transitions to and from national operation (stm), the responsibility for the driver increases, the etcs shall seek an acknowledgement from the driver, whether the train is stationary or not.
",3.9.1.2c,"for transitions to and from national operation (stm) the etcs shall request, an acknowledgement by the driver.
",3.9.1.2d,0,0.652988665,0.6433824,1,3
26869,26869,the train trip function ,4.4.1.3,"when the train passes the stop signal, the train trip function shall be suppressed.
",4.5.2.3,0,0.651877319,0.6666667,0,0
15213,15213,"the etcs on-board shall be capable of receiving track description from the trackside.
",4.1.1.1,"the etcs on-board shall be capable of receiving information about pantograph and power supply from the trackside.
",4.8.1.1,0,0.649891352,0.675,1,3
