,Unnamed: 0,Unnamed: 0.1,req1,req1_id,req2,req2_id,similarity,cosine,BinaryClass,MultiClass,Id
0,0,19298,it shall be possible to send plain text messages from track to train,4.8.8.1,it shall be possible to send fixed text messages from track to train,4.8.9.1,0,0.876351105,1,3,0
6,9,15905,actual speed shall be indicated on the dmi,4.3.51a,actual speed shall still be shown on the dmi,4.5.2.4,0,0.706077774,1,3,6
8,12,18301,a special indication shall be shown on the dmi,4.5.2.5a,information shall be shown on the dmi,4.8.10.2,0,0.673520505,1,3,8
11,17,17558,it shall be possible to use multiple traction units without isolating the etcs trainborne equipment on traction unit(s) with an in-operative cab,4.4.1.1,it shall be possible to use tandem traction units without isolating the etcs trainborne equipment on the tandem traction unit,4.4.2.1,0,0.658480836,1,3,11
15,23,12287,the etcs on-board shall be capable of receiving track description from the trackside,4.1.1.1,the etcs on-board shall be capable of receiving information about pantograph and power supply from the trackside,4.8.1.1,0,0.649891352,1,3,15
17,27,16217,visual and acoustic warnings to the driver about possible intervention from etcs shall be given to enable the driver to react and avoid intervention,4.3.6.5,within the braking curve area a warning shall be given to the driver to enable him to react and avoid intervention from etcs equipment at least 5 sec before the intervention,4.3.7.2,0,0.645874645,1,3,17
18,29,6981,the following data may be entered manually by the driver or from train memory,4.1.2.16,"the following data may be entered manually by the driver provided by external sources
",4.1.2.16,0,0.637029056,1,3,18
25,39,18248,actual speed shall still be shown on the dmi,4.5.2.4,information shall be shown on the dmi,4.8.10.2,0,0.615218691,1,3,25
29,46,19530,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,4.9.9.1,the following train data shall be sent from the on board to the trackside,4.9.9.2,0,0.604767647,1,3,29
70,142,15308,the release speed shall be indicated on the dmi,4.3.3.2c,information shall be shown on the dmi,4.8.10.2,0,0.537415854,1,3,70
71,143,13901,the target distance shall not be shown on the dmi unless selected by the driver,4.2.3.6c,information shall be shown on the dmi,4.8.10.2,0,0.537006899,1,3,71
74,149,5340,the driver shall be able to select train data entry on the dmi,4.1.2.2,stored train data shall be offered to the driver to be confirmed when data entry starts,4.1.2.11,0,0.532411495,1,3,74
77,159,15662,the etcs trainborne equipment shall be able to determine the location of the entire train,4.3.4.1,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,4.7.3.2,0,0.524793852,1,3,77
78,162,9861,the train shall have the capability of being supervised to a ceiling speed,4.1.4.4b,the train shall as a minimum be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver,4.2.3.6b,0,0.524632345,1,3,78
88,194,10088,this ceiling speed shall not be shown continually on the dmi but may be shown momentarily when selected by the driver,4.1.4.4c,information shall be shown on the dmi,4.8.10.2,0,0.512259796,1,3,88
89,195,19173,the etcs on-board shall be capable of receiving information about pantograph and power supply from the trackside,4.8.1.1,the etcs trainborne equipment shall indicate on the dmi the information regarding pantograph and power supply,4.8.1.5a,0,0.512150058,1,3,89
97,214,9668,partial supervision shall be indicated on the dmi,4.1.4.3,information shall be shown on the dmi,4.8.10.2,0,0.505605559,1,3,97
98,215,15938,actual speed shall be indicated on the dmi,4.3.51a,information shall be shown on the dmi,4.8.10.2,0,0.505605559,1,3,98
99,216,18733,route unsuitability shall be indicated on the dmi,4.6.4.1c,information shall be shown on the dmi,4.8.10.2,0,0.505605559,1,3,99
102,220,13596,the train shall be supervised according to train speed data available,4.2.3.6a,the train shall as a minimum be supervised to a ceiling speed; the supervised speed shall not be shown on the dmi unless selected by the driver,4.2.3.6b,0,0.503499072,1,3,102
