,req1,req2,BinaryClass,MultiClass,BLabelled,MLabelled
1675,"the industrial design needs to be rugged tough bulletproof in both visual perception and application it needs to be a heavy duty piece of equipment not a delicate instrument 
the ground around plants and at field sites is uneven and there is random puddles of liquid everywhere for this reason we may want to have small standoff legs to raise the base of the device up an inch or so off the ground

on a similar note arearae techs told me to make sure the device is not top heavy they said that wind can blow the device over if possible we should avoid this but if it does happen we need to make sure it can’t blow over in such a way that it can rest on the ground covering the sensors",gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;ability to use a speaker for communicating with the user,0,0,A,A
894,external av port(s);it would be possible to have these av ports configurable sending on/off information for different reasons;it would also be possible to have this ports communicate more complex information to some type of external hardware network,bluetooth;related to the bluetooth regulator project the transportable should have the ability to receive cylinder pressure information,0,0,A,A
3616,configurations settings;calibration;ability to not allow calibration while in operation on the field,configurations settings;bump;automatic bump test on schedule toggle,0,0,A,A
1575,mounting;versatility of mounting is important mounting inserts in the plastic ability to use zip-ties or heavy duty magnets ability to bolt it to a surface,"sticky gas with pump requirement

- we would like the pump on transportable to support sticky gas ie
- cl2
- clo2
- o3 (stretch goal",0,0,A,A
3167,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;the device will work independent of gas detection,configurations settings;bump;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well this would be a conflict,0,0,A,A
3031,pump module; if multiple inlets are used for sampling we’ll need to set the sample interval since we can’t draw on more than one at a time,configurations settings;notification when turned off: when a unit is placed in the field the operator might want to know if someone has tampered with it and turned it off  enable/disable toggle,0,0,A,A
3240,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;ability to use a speaker for communicating with the user,software requirements;notification profile pages won’t need to change fundamentally we’ll need to add toggle settings for motion alert and a pump blocked (specify inlet,0,0,A,A
3567,configurations settings;pump;cycle time for each inlet between 1 minute and 60 minutes with the resolution of 1 minute,software requirements;alerts can work the same way they do now on the g7 unacknowledged acknowledged resolved;gas alarms will work the same way they do on g7 - they stop local alarming when gas levels recede but the remote portal alarm is persistent until ack’d  the blue responding indicator will still be present on the transportable we should still resolve alerts that are older than 2 weeks,0,0,A,A
3423,configurations settings;custom name: assigned to the device like naming a dock,configurations settings;calibration;calibration schedule setting (# days,0,0,A,A
3453,configurations settings;custom name: assigned to the device like naming a dock,software requirements;as discussed above the transportable will need it’s own configuration page this should be a grouped/shared style configuration like the g7 devices not an individual configuration like the docks transportables will be rented and deployed in batches of 1 - 200 depending on the job  the docks need to be plumbed with gas and updated with a button press  they also have unique cylinder information… though if we bump/cal from a dock it will also have unique cylinder info the cylinder info for transportables can be kept on the device instance page for the transportable,1,3,M,M
3305,satellite and cellular communication options;all transportables should communicate with cellular networks like the g7c this would be the standard offering,configurations settings;sound:;can we have the speaker say “high gas detected hydrogen sulfide leave the area”? if so we would toggle this on/off,0,0,A,A
1782,gas sensor cartridges;we plan to use our existing four sensor cartridges for the transportable the transportable will not need to interface with the standard (no gas) single sensor or four sensor pumped cartridges it will only need to physically interface with the non-pumped four sensor cartridge,battery usage and tracking schedules;updated gas information does not need to continuously be transmitted,0,0,A,A
712,the transportable will need its own bright lights and sound for alarms the lights and sound should work 360 deg,need a visual way to look at a transportable while in the field and see if it is connected to the network green suresafe connectivity light needs to be visible,0,0,A,A
548,battery and run time;the transportable will have a battery charge level indicator,mounting;versatility of mounting is important mounting inserts in the plastic ability to use zip-ties or heavy duty magnets ability to bolt it to a surface,0,0,A,A
1492,mounting;the transportable can be hooked to a solar panel in a hazardous zone we’ll want to source our own so that it can be sold with the kit,battery usage and tracking schedules;updated gas information does not need to continuously be transmitted,0,0,A,A
307,battery and run time;the transportable battery pack can be removed for fast charging outside of a hazardous location,certifications;   class 1 div 1 zone 0 what are the weather and water resistance standards for extended outdoor use? temperature - same as g7 specs the device needs to be resistant to rain ip-66/ip-67,0,0,A,A
1627,mounting;for anti-theft we won’t provide a special locking mechanism if the owners are worried about theft they can bolt it to something,configurations settings;low battery notification: no auditory local alarm on device just a visual indication of low battery level on the device lcd  we will want the same portal related notifications as g7 such as email and sms  the device technicians are generally in a trailer not in the immediate area so a local alarm for low battery is not helpful,0,0,A,A
3614,configurations settings;calibration;ability to not allow calibration while in operation on the field,configurations settings;calibration;specify which inlets to use for gas and purge we will need a check here if the pump is set to sample from an inlet as well,0,0,A,A
3102,pump module;the pump needs to work with chlorine,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;the device will work independent of gas detection,0,0,A,A
88,battery and run time;60 days run-time without pump,software requirements;alert profile and notification profile pages won’t need to change fundamentally we’ll need to add toggle settings for motion alert and a pump blocked (specify inlet,0,0,A,A
2599,movement detection;setting or enabling movement detection should be initiated from the transportable’s lcd menu;once triggered motion detection would need to be reset,configurations settings;sos latch pull: enable/disable toggle,0,0,A,A
3688,configurations settings;calibration;calibration schedule setting (# days,configurations settings;lights: enable/disable toggle,0,0,A,A
2387,movement detection;movement detection should be a feature of the transportale essentially when the gyro/accelerometer detects movement the device would send a message to the server doing it this way as opposed to with gps would be advantageous because gps signals and locations can bounce around,movement detection;the detection of motion would result in an alert and/or a notification in the portal,1,3,M,M
1178,need a visual way to look at a transportable while in the field and see if it is connected to the network green suresafe connectivity light needs to be visible,messages;like the g7 the transportable should be able to receive messages from the server and send pre-canned and custom messages the way the g7 does from the configuration profile we want the ability to toggle-off or disable the ability to send messages from the transportable (we would like this functionality for the g7 as well but that’s a separate consideration) messaging would be available over cellular and satellite,0,0,A,A
3162,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;the device will work independent of gas detection,configurations settings;calibration;calibration schedule setting (# days,0,0,A,A
2786,confined space connectivity;for the shutdown/turnaround market the transportable needs to be able to communicate in confined space this may need further field testing/verification and improvement in future iteration,software requirements;the transportable will need more information related to gas alerts depending on what inlet they are coming from for example high gas h2s from inlet 1 or over limit lel from inlet 3,0,0,A,A
1363,"mounting;the transportable can be fixed to a survey tripod “typically threaded with a 5/8"" x 11 tpi screw thread” we’ll want to source our own tripod to sell as a kit",calibration and bump test;to perform a calibration on certain cartridge configurations the transportable may need to be connected to two or three cylinders multi gas voc and purge this will need to be configured so the transportable knows which inlet to draw from,0,0,A,A
3335,satellite and cellular communication options;we would like to have an option upgrade module which would when installed allow the transportable to also communicate with iridium satellites similar to the bridge,configurations settings;pump;maximum hose length: 100 feet minimum 0 feet sample time as a configuration with seconds granularity,0,0,A,A
2957,pump module;the inlets will need to be configurable over the air via the portal if they are used to sample calibrate zero or purge,gasless operation: the transportable could also be used as an emergency and evacuation product on a gasless site employees could pull the latch on the transportable;from the portal a safety administrator could trigger all of the transportables installed around the site to flash and broadcast verbal messages to “evacuate to muster point b… evacuate to muster point b”,0,0,A,A
863,external av port(s);the current concept design has two external av control ports these can be used for external lights or sirens basic binary on/off functionally linked to the transportable’s alarm levels,battery usage and tracking schedules;updated gps locations can be less frequent perhaps only on motion,0,0,A,A
2245,calibration and bump test;to perform a calibration on certain cartridge configurations the transportable may need to be connected to two or three cylinders multi gas voc and purge this will need to be configured so the transportable knows which inlet to draw from,voice calling: a call can be placed to the device without setting it into alarm the channel just opens and the person can talk;calls can be made from the device to a set list of phone numbers,0,0,A,A
1949,calibration and bump test;bump and cals need to be manually initiated from the device,pump module; if multiple inlets are used for sampling we’ll need to set the sample interval since we can’t draw on more than one at a time,0,0,A,A
